,chance_of_playing_next_round,chance_of_playing_this_round,dreamteam_count,element_type,id,now_cost,points_per_game,selected_by_percent,status,total_points,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
139,100.0,100.0,1,4,92,53,2.6,0.2,a,26,4.9,Vydra,328,2,1,2,1,0,0,0,0,0,0,3,84,111.4,55.0,153.0,32.0
140,100.0,100.0,1,1,93,49,4.4,18.8,a,128,26.1,Pope,2610,0,0,11,40,0,1,0,0,0,89,17,598,671.6,30.3,2.0,70.3
141,,,0,1,95,42,0.0,1.1,a,0,0.0,Hart,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
142,75.0,0.0,0,3,96,59,2.9,0.4,d,20,3.4,Gudmundsson,398,1,0,3,4,0,0,0,0,0,0,1,66,83.2,156.8,92.0,33.1
143,100.0,100.0,1,3,97,61,3.4,1.1,a,99,16.2,McNeil,2529,2,6,12,38,0,0,0,4,0,0,6,410,503.8,713.6,309.0,152.6
144,100.0,100.0,0,3,98,55,2.1,0.0,a,29,5.3,Brady,395,1,2,1,10,0,0,0,1,0,0,0,104,105.6,87.2,86.0,27.9
145,0.0,0.0,0,3,99,55,0.0,0.0,u,0,0.0,Defour,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
146,100.0,100.0,0,3,100,54,2.8,0.1,a,67,12.4,Hendrick,1930,2,2,10,30,0,0,0,8,0,0,4,197,269.8,213.7,282.0,76.5
147,100.0,100.0,1,3,101,55,3.5,0.9,a,91,16.5,Westwood,2340,2,6,11,29,0,0,0,9,0,0,9,415,456.0,589.1,121.0,116.6
148,100.0,100.0,0,3,102,49,2.3,0.2,a,62,12.7,Cork,2365,0,0,10,36,0,0,0,1,0,0,0,279,300.4,192.7,311.0,80.5
149,100.0,100.0,0,3,430,46,0.9,0.1,a,15,3.3,Lennon,485,0,0,0,15,0,0,0,4,0,0,0,51,45.0,37.8,12.0,9.6
150,100.0,100.0,1,2,447,42,2.8,4.0,a,42,10.0,Pieters,1233,0,3,3,29,0,0,0,1,0,0,7,226,238.6,152.7,23.0,41.1
151,100.0,75.0,0,4,451,57,2.3,0.3,a,65,11.4,Rodriguez,1376,5,1,4,26,0,0,0,1,0,0,3,179,277.8,79.7,525.0,87.3
152,,,0,1,495,43,0.0,0.1,a,0,0.0,Peacock-Farrell,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
153,,,0,3,571,45,0.0,0.0,a,0,0.0,Goodridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
154,0.0,0.0,2,2,572,39,0.0,0.0,n,0,0.0,Driscoll-Glennon,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
155,,,0,2,596,40,0.0,0.0,a,0,0.0,Koiki,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
156,,,0,3,620,48,1.0,0.0,a,1,0.2,Brownhill,1,0,0,0,0,0,0,0,0,0,0,0,3,2.0,0.0,0.0,0.2
157,100.0,100.0,3,2,103,62,7.0,4.2,a,77,12.4,Alonso,858,4,3,5,7,0,0,0,3,0,0,8,264,306.4,230.1,230.0,76.5
158,100.0,100.0,1,2,104,60,3.3,0.6,a,43,7.2,Rüdiger,1125,2,0,3,13,1,0,0,3,0,0,3,228,274.4,45.3,181.0,50.1
159,100.0,100.0,2,2,105,59,3.3,6.0,a,88,14.9,Azpilicueta,2419,2,3,5,38,0,0,0,0,0,0,7,494,666.6,484.3,364.0,151.7
160,100.0,100.0,0,2,107,54,1.3,0.7,a,18,3.3,Emerson,1020,0,0,1,21,0,0,0,3,0,0,0,179,207.6,298.4,225.0,73.1
161,100.0,100.0,0,2,108,48,1.5,0.6,a,22,4.6,Christensen,1256,0,0,2,24,0,0,0,5,0,0,0,222,247.2,48.4,63.0,35.9
162,0.0,0.0,0,2,109,42,0.0,0.2,n,0,0.0,Zappacosta,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
163,100.0,100.0,0,4,110,66,3.1,2.1,a,28,4.2,Giroud,438,2,1,3,7,0,0,0,0,0,0,3,88,96.4,93.3,202.0,38.7
164,,,0,1,111,54,2.8,4.3,a,69,12.8,Kepa,2250,0,0,6,32,0,0,0,0,0,42,0,387,384.2,0.0,0.0,38.4
165,,,0,1,112,48,1.8,0.3,a,7,1.5,Caballero,360,0,0,0,7,0,0,0,0,0,9,0,49,80.0,0.0,0.0,8.0
166,100.0,100.0,4,3,113,70,4.0,4.2,a,113,16.1,Willian,1923,5,6,8,21,0,0,0,3,0,0,16,483,561.4,792.7,657.0,201.2
167,100.0,100.0,1,3,114,68,3.3,1.3,a,30,4.4,Pedro,653,1,2,2,12,0,0,0,1,0,0,1,122,159.4,227.0,332.0,71.9
168,100.0,100.0,0,3,115,63,0.0,0.1,a,0,0.0,Loftus-Cheek,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
169,100.0,75.0,0,3,116,52,2.6,0.5,a,45,8.7,Hudson-Odoi,768,1,4,2,12,0,0,0,1,0,0,3,172,204.8,310.5,323.0,83.6
170,100.0,100.0,1,3,117,57,2.8,1.8,a,37,6.5,Barkley,670,0,4,4,7,0,0,0,0,0,0,3,124,171.8,258.6,262.0,69.0
171,0.0,0.0,1,3,118,49,3.1,3.4,s,81,16.5,Jorginho,2009,4,3,4,32,0,0,0,10,0,0,9,470,541.0,390.3,156.0,109.1
172,100.0,100.0,0,3,119,50,2.7,3.6,a,49,9.8,Kanté,1383,3,0,2,20,0,0,0,3,0,0,2,242,368.0,369.3,201.0,94.0
173,0.0,0.0,0,3,121,43,0.0,0.0,n,0,0.0,Ampadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
174,100.0,75.0,1,3,431,69,4.4,3.4,a,70,10.1,Pulisic,1069,5,3,3,19,0,0,0,0,0,0,5,217,335.6,271.9,719.0,132.7
175,100.0,100.0,0,3,432,53,2.3,0.9,a,58,10.9,Kovacic,1678,1,3,2,29,0,0,0,7,0,0,6,388,424.6,391.8,168.0,98.2
176,100.0,100.0,0,2,459,47,1.9,1.5,a,42,8.9,Zouma,1803,0,0,4,27,1,0,0,5,0,0,1,307,394.8,30.9,133.0,55.5
177,100.0,100.0,4,4,460,75,5.2,14.7,a,131,17.5,Abraham,1930,13,5,7,27,1,0,0,2,0,0,20,396,581.2,265.7,1077.0,191.5
178,,,0,4,461,66,1.8,0.5,a,28,4.2,Batshuayi,224,1,2,0,8,0,0,0,0,0,0,1,59,61.8,42.9,185.0,28.3
179,0.0,0.0,0,3,462,52,0.0,0.0,n,0,0.0,Kenedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
